Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,Q6NV83,U2 snRNP-associated SURP motif-containing protein OS=Mus musculus (Mouse) OX=10090 GN=U2surp PE=1 SV=3,118.2,4,3,3,,3,,,3,3,,3,,,-2.92,1.29E-02,3,2,1,4,1,1,2.60E+06,9.24E+05,2.66E+05,2.24E+06,1.22E+05,1.11E+05,,,
High,Q6PDQ2,Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus (Mouse) OX=10090 GN=Chd4 PE=1 SV=1,217.6,29,17,19,,17,2,3,19,21,,20,2,3,-1.92,1.29E-02,17,18,8,14,6,7,2.15E+07,1.33E+07,1.63E+06,1.20E+07,2.21E+06,3.52E+06,,,
High,P17156,Heat shock-related 70 kDa protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Hspa2 PE=1 SV=2,69.6,9,11,9,6,15,8,9,36,14,8,23,14,13,1.95,1.32E-02,1,2,1,3,3,1,1.42E+06,2.34E+06,4.21E+05,5.51E+06,4.78E+06,1.09E+07,,,
High,Q61543,Golgi apparatus protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Glg1 PE=1 SV=1,133.6,28,6,11,2,27,6,12,6,11,2,31,6,12,1.33,1.43E-02,9,16,8,25,11,16,9.70E+06,8.43E+06,5.73E+06,4.75E+07,9.87E+06,2.12E+07,,,
High,Q8C0I1,"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Mus musculus (Mouse) OX=10090 GN=Agps PE=1 SV=1",71.6,4,2,4,,3,,1,2,5,,3,,1,-2.62,1.48E-02,2,4,1,2,1,1,2.48E+06,2.53E+06,2.72E+05,1.16E+06,2.12E+05,4.04E+05,,,
High,Q11136,Xaa-Pro dipeptidase OS=Mus musculus (Mouse) OX=10090 GN=Pepd PE=1 SV=3,55,4,1,,,2,3,2,1,,,2,3,2,2.63,1.56E-02,3,2,1,3,4,2,1.13E+06,2.03E+05,3.36E+05,2.21E+06,2.08E+06,1.86E+06,,,
High,Q792Z1,Peptidase S1 domain-containing protein OS=Mus musculus (Mouse) OX=10090 GN=Try10 PE=1 SV=1,26.2,1,1,1,1,1,1,1,8,2,2,1,3,3,1.31,1.57E-02,2,2,2,2,2,2,1.35E+08,1.66E+08,3.53E+08,1.74E+08,5.24E+08,4.12E+08,,,
High,O88342,WD repeat-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Wdr1 PE=1 SV=3,66.4,14,5,6,,11,4,4,5,7,,13,4,4,1.34,1.58E-02,5,6,5,10,8,9,1.29E+07,7.32E+06,5.53E+06,3.04E+07,1.85E+07,1.07E+07,,,
High,P63037,DnaJ homolog subfamily A member 1 OS=Mus musculus (Mouse) OX=10090 GN=Dnaja1 PE=1 SV=1,44.8,7,5,4,,3,1,1,8,4,,3,1,1,-2.17,1.63E-02,4,5,4,4,1,2,1.51E+07,6.39E+06,1.56E+06,3.88E+06,1.42E+06,7.73E+05,,,
High,Q91Z31,Polypyrimidine tract-binding protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Ptbp2 PE=1 SV=2,57.5,12,6,9,5,7,3,6,8,12,7,7,4,7,-1.69,1.68E-02,9,10,8,10,4,6,3.07E+07,3.15E+07,1.04E+07,1.90E+07,5.65E+06,9.52E+06,,,
High,Q9JKF1,Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus (Mouse) OX=10090 GN=Iqgap1 PE=1 SV=2,188.6,28,27,2,,3,1,,33,2,,4,1,,1.75,1.85E-02,24,4,2,4,4,,9.93E+07,2.18E+06,4.18E+05,2.32E+06,2.33E+07,,,,
High,Q9CR62,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus (Mouse) OX=10090 GN=Slc25a11 PE=1 SV=3,34.1,11,7,8,4,10,4,5,9,11,4,11,5,6,1.27,1.88E-02,7,11,7,10,9,10,1.59E+07,4.05E+07,1.44E+07,5.29E+07,3.83E+07,2.74E+07,,,
High,Q9D287,Pre-mRNA-splicing factor SPF27 OS=Mus musculus (Mouse) OX=10090 GN=Bcas2 PE=1 SV=1,26.1,5,1,4,1,4,,,1,4,1,4,,,1.88,1.90E-02,2,2,2,3,2,2,9.45E+05,3.36E+06,1.57E+06,3.45E+06,7.87E+06,5.77E+06,,,
High,Q8R550,SH3 domain-containing kinase-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Sh3kbp1 PE=1 SV=1,78.1,4,2,4,,2,,1,2,5,,2,,1,1.97,1.93E-02,1,3,1,3,,3,8.41E+05,4.38E+06,3.18E+05,3.16E+06,,3.43E+06,,,
High,Q9EQF6,Dihydropyrimidinase-related protein 5 OS=Mus musculus (Mouse) OX=10090 GN=Dpysl5 PE=1 SV=1,61.5,8,,5,,8,1,3,,5,,10,1,3,2.17,1.94E-02,1,4,2,7,2,4,6.06E+05,6.16E+06,3.33E+05,9.79E+06,2.04E+06,2.74E+06,,,
High,P20152,Vimentin OS=Mus musculus (Mouse) OX=10090 GN=Vim PE=1 SV=3,53.7,26,25,15,16,22,20,10,55,19,17,25,23,10,1.25,2.08E-02,29,15,18,20,19,20,1.03E+09,2.40E+07,2.52E+07,5.98E+07,1.16E+08,2.81E+07,,,
High,Q8BH59,Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus (Mouse) OX=10090 GN=Slc25a12 PE=1 SV=1,74.5,23,13,22,15,24,14,19,14,28,15,33,19,25,1.23,2.17E-02,11,17,15,18,14,16,1.79E+07,5.90E+07,2.01E+07,1.13E+08,4.72E+07,4.39E+07,,,
High,Q7TQH0,Ataxin-2-like protein OS=Mus musculus (Mouse) OX=10090 GN=Atxn2l PE=1 SV=1,110.6,5,3,4,,2,,1,3,4,,2,,1,1.9,2.20E-02,4,3,4,5,4,4,3.93E+06,8.78E+05,5.06E+05,3.14E+06,1.50E+07,3.28E+06,,,
High,Q9ERK4,Exportin-2 OS=Mus musculus (Mouse) OX=10090 GN=Cse1l PE=1 SV=1,110.4,15,14,6,,6,2,1,17,7,,7,2,1,-2.25,2.24E-02,11,5,3,5,2,2,5.93E+07,2.61E+06,3.66E+06,3.17E+06,7.72E+05,7.58E+05,,,
High,P05063,Fructose-bisphosphate aldolase C OS=Mus musculus (Mouse) OX=10090 GN=Aldoc PE=1 SV=4,39.4,13,11,11,8,11,5,4,13,16,9,15,5,5,-1.62,2.29E-02,8,10,10,10,6,7,3.98E+07,4.50E+07,4.04E+07,3.69E+07,1.32E+07,1.04E+07,,,
High,Q64331,Unconventional myosin-VI OS=Mus musculus (Mouse) OX=10090 GN=Myo6 PE=1 SV=1,146.3,17,7,10,,12,,1,7,11,,12,,1,-2.14,2.31E-02,6,9,5,9,3,3,5.07E+06,5.60E+06,8.60E+05,5.96E+06,5.73E+05,1.15E+06,,,
High,Q8BPU7,Engulfment and cell motility protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Elmo1 PE=1 SV=2,83.9,11,4,7,,10,1,1,4,7,,10,1,1,-2.23,2.33E-02,5,6,1,5,1,2,3.61E+06,4.68E+06,4.30E+04,3.71E+06,2.60E+05,7.68E+05,,,
High,P17182,Alpha-enolase OS=Mus musculus (Mouse) OX=10090 GN=Eno1 PE=1 SV=3,47.1,17,19,17,13,17,15,15,85,32,21,32,32,29,1.21,2.37E-02,15,14,15,16,15,16,6.31E+08,1.33E+08,1.11E+08,3.54E+08,3.09E+08,2.13E+08,,,
High,P62245,40S ribosomal protein S15a OS=Mus musculus (Mouse) OX=10090 GN=Rps15a PE=1 SV=2,14.8,6,4,4,2,6,1,3,5,5,3,8,2,4,-1.61,2.38E-02,7,7,6,7,5,4,1.83E+08,5.97E+07,1.66E+07,7.54E+07,1.96E+07,1.88E+07,,,
High,P53395,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Dbt PE=1 SV=2",53.2,6,3,3,1,5,1,1,3,4,1,7,1,1,-1.92,2.44E-02,4,6,2,6,2,3,9.37E+06,1.68E+07,1.18E+06,9.11E+06,2.35E+06,2.47E+06,,,
High,O09106,Histone deacetylase 1 OS=Mus musculus (Mouse) OX=10090 GN=Hdac1 PE=1 SV=1,55,7,5,7,,7,,1,6,8,,8,,1,-1.87,2.54E-02,7,7,4,7,1,4,1.03E+07,9.79E+06,1.73E+06,1.03E+07,3.52E+05,2.67E+06,,,
High,P26369,Splicing factor U2AF 65 kDa subunit OS=Mus musculus (Mouse) OX=10090 GN=U2af2 PE=1 SV=3,53.5,11,10,11,2,10,6,5,17,17,2,13,7,5,-1.59,2.57E-02,11,13,8,13,8,9,1.09E+08,1.85E+08,5.48E+07,3.62E+07,5.93E+07,1.39E+07,,,
High,P56391,Cytochrome c oxidase subunit 6B1 OS=Mus musculus (Mouse) OX=10090 GN=Cox6b1 PE=1 SV=2,10.1,4,3,4,2,4,1,3,4,5,2,7,1,4,1.19,2.57E-02,4,4,4,4,3,4,2.22E+07,4.67E+07,1.95E+07,5.51E+07,2.69E+07,5.07E+07,,,
High,O55125,Protein NipSnap homolog 1 OS=Mus musculus (Mouse) OX=10090 GN=Nipsnap1 PE=1 SV=1,33.3,4,,3,,4,,2,,4,,6,,2,1.81,2.57E-02,1,3,1,4,1,3,1.12E+06,5.53E+06,1.20E+06,6.35E+06,1.37E+06,4.22E+06,,,
High,P15105,Glutamine synthetase OS=Mus musculus (Mouse) OX=10090 GN=Glul PE=1 SV=6,42.1,17,15,14,13,12,8,11,61,46,24,20,12,18,-1.58,2.62E-02,21,21,21,18,17,17,9.74E+08,1.21E+09,7.25E+08,3.25E+08,1.55E+08,4.68E+08,,,
High,Q8BGH2,Sorting and assembly machinery component 50 homolog OS=Mus musculus (Mouse) OX=10090 GN=Samm50 PE=1 SV=1,51.8,12,2,7,1,7,,3,2,7,1,7,,3,1.61,2.68E-02,2,8,3,7,,6,2.41E+06,1.28E+07,1.90E+06,1.13E+07,,4.77E+06,,,
High,Q9D5T0,ATPase family AAA domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Atad1 PE=1 SV=1,40.7,5,3,5,1,4,,,4,5,1,5,,,-1.92,2.71E-02,4,5,3,5,3,3,8.22E+06,1.19E+07,1.84E+06,8.47E+06,2.18E+06,2.16E+06,,,
High,Q9JL56,Glycerophosphodiester phosphodiesterase 1 OS=Mus musculus (Mouse) OX=10090 GN=Gde1 PE=1 SV=1,37.6,5,1,3,1,4,,,1,3,1,4,,,-1.56,2.83E-02,2,4,3,2,1,2,6.81E+07,5.03E+07,3.18E+07,1.70E+07,6.46E+06,1.93E+07,,,
High,Q9Z1Q9,Valine--tRNA ligase OS=Mus musculus (Mouse) OX=10090 GN=Vars PE=1 SV=1,140.1,25,12,17,5,17,2,4,13,18,5,19,2,5,-1.56,2.87E-02,17,16,8,18,7,11,4.55E+07,2.97E+07,4.59E+06,3.53E+07,7.60E+06,1.01E+07,,,
High,Q8CGF7,Transcription elongation regulator 1 OS=Mus musculus (Mouse) OX=10090 GN=Tcerg1 PE=1 SV=2,123.7,9,5,6,,1,,1,5,6,,1,,1,-1.99,2.90E-02,5,6,4,5,1,,7.42E+06,4.79E+06,3.16E+06,2.73E+06,5.36E+05,,,,
High,P52483,Ubiquitin-conjugating enzyme E2 E3 OS=Mus musculus (Mouse) OX=10090 GN=Ube2e3 PE=1 SV=2,22.9,3,3,2,,2,,,3,2,,2,,,-2.31,2.92E-02,3,3,2,3,2,2,3.67E+06,2.55E+06,1.33E+06,2.20E+06,5.12E+05,4.36E+05,,,
High,Q99MR8,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Mccc1 PE=1 SV=2",79.3,9,,7,,7,,1,,7,,7,,1,-2.55,2.98E-02,1,4,2,4,1,1,8.45E+05,3.72E+06,5.16E+05,2.87E+06,1.44E+05,1.34E+05,,,
High,Q9Z0N1,"Eukaryotic translation initiation factor 2 subunit 3, X-linked OS=Mus musculus (Mouse) OX=10090 GN=Eif2s3x PE=1 SV=2",51,14,11,9,3,9,2,2,12,10,3,9,2,2,-1.69,3.02E-02,11,11,7,10,4,5,3.87E+07,1.32E+07,2.47E+06,1.19E+07,4.08E+06,3.52E+06,,,
High,Q8QZY9,Splicing factor 3B subunit 4 OS=Mus musculus (Mouse) OX=10090 GN=Sf3b4 PE=1 SV=1,44.3,3,2,3,1,3,1,1,2,4,1,4,1,1,-1.85,3.03E-02,2,3,3,3,1,1,1.31E+07,8.32E+06,7.81E+06,4.04E+06,1.16E+06,2.31E+06,,,
High,Q9WV85,Nucleoside diphosphate kinase 3 OS=Mus musculus (Mouse) OX=10090 GN=Nme3 PE=1 SV=3,19.1,3,1,2,,1,,,1,2,,1,,,-2.49,3.39E-02,3,3,1,3,1,2,1.04E+07,1.68E+06,5.22E+05,2.19E+06,6.53E+04,2.98E+05,,,
High,Q8R016,Bleomycin hydrolase OS=Mus musculus (Mouse) OX=10090 GN=Blmh PE=1 SV=1,52.5,6,2,,1,5,2,3,3,,1,7,2,3,1.46,3.51E-02,2,3,3,4,3,5,4.00E+06,3.96E+06,7.01E+06,8.57E+06,1.16E+07,1.10E+07,,,
High,Q8VHE0,Translocation protein SEC63 homolog OS=Mus musculus (Mouse) OX=10090 GN=Sec63 PE=1 SV=4,87.8,10,7,3,,5,,,7,3,,5,,,1.68,3.64E-02,5,4,2,6,2,3,1.49E+07,1.26E+06,5.37E+05,4.02E+06,5.58E+06,1.86E+06,,,
High,Q62261,"Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus (Mouse) OX=10090 GN=Sptbn1 PE=1 SV=2",274.1,61,46,16,,32,9,4,49,18,,33,9,4,1.1,3.82E-02,37,24,9,32,14,16,8.32E+07,1.21E+07,2.80E+06,2.59E+07,2.89E+07,1.32E+07,,,
High,Q9DCT2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Ndufs3 PE=1 SV=2",30.1,6,1,5,2,6,2,1,1,5,2,7,3,2,1.08,3.84E-02,3,6,5,6,5,6,9.65E+06,1.99E+07,1.12E+07,2.56E+07,2.38E+07,1.56E+07,,,
High,Q9QWI6,SRC kinase signaling inhibitor 1 OS=Mus musculus (Mouse) OX=10090 GN=Srcin1 PE=1 SV=2,134.8,9,1,6,,5,,1,1,6,,5,,1,-2.19,3.87E-02,3,5,1,4,1,2,2.84E+06,4.96E+06,1.05E+05,1.73E+06,7.69E+04,6.23E+05,,,
High,P08032,"Spectrin alpha chain, erythrocytic 1 OS=Mus musculus (Mouse) OX=10090 GN=Spta1 PE=1 SV=3",279.7,24,1,25,,7,,1,1,29,,7,,1,-1.95,3.94E-02,5,17,7,6,,4,5.75E+06,1.01E+07,1.25E+06,2.52E+06,,8.76E+05,,,
High,Q9D0I9,"Arginine--tRNA ligase, cytoplasmic OS=Mus musculus (Mouse) OX=10090 GN=Rars PE=1 SV=2",75.6,15,7,12,,12,4,6,7,12,,12,4,6,1.1,3.95E-02,6,11,5,12,7,7,1.47E+07,9.53E+06,2.16E+06,2.78E+07,2.04E+07,1.31E+07,,,
High,Q8BJ64,"Choline dehydrogenase, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Chdh PE=1 SV=1",66.4,13,2,4,4,10,4,3,2,5,4,14,4,4,1.28,4.02E-02,2,7,5,11,4,4,2.84E+06,1.03E+07,6.25E+06,3.24E+07,1.40E+07,1.51E+07,,,
High,Q6PIE5,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus (Mouse) OX=10090 GN=Atp1a2 PE=1 SV=1,112.1,18,23,31,17,24,13,15,31,48,22,38,18,20,-1.47,4.19E-02,13,16,14,14,7,12,3.70E+07,4.68E+07,1.30E+07,3.53E+07,6.25E+06,1.34E+07,,,
High,Q9D8V7,Signal peptidase complex catalytic subunit SEC11C OS=Mus musculus (Mouse) OX=10090 GN=Sec11c PE=1 SV=3,21.6,4,2,3,1,1,,2,2,3,1,1,,2,1.75,4.23E-02,1,3,2,2,,2,5.84E+05,3.87E+06,8.96E+05,2.78E+06,,3.27E+06,,,
High,Q99PL7,Acyl-CoA desaturase 3 OS=Mus musculus (Mouse) OX=10090 GN=Scd3 PE=1 SV=1,41.4,2,2,2,1,2,,,2,3,2,2,,,-1.82,4.35E-02,1,2,2,1,2,2,6.66E+06,1.44E+07,4.33E+06,3.23E+06,1.02E+06,1.89E+06,,,
High,P24527,Leukotriene A-4 hydrolase OS=Mus musculus (Mouse) OX=10090 GN=Lta4h PE=1 SV=4,69,21,11,15,10,19,12,14,12,16,10,23,13,14,1.06,4.38E-02,15,15,15,19,15,16,2.80E+07,1.77E+07,1.15E+07,5.14E+07,3.69E+07,2.79E+07,,,
High,P29391,Ferritin light chain 1 OS=Mus musculus (Mouse) OX=10090 GN=Ftl1 PE=1 SV=2,20.8,7,4,4,3,5,4,4,4,4,4,6,4,5,1.07,4.40E-02,4,5,6,6,4,6,4.14E+06,9.57E+06,8.56E+06,2.01E+07,1.79E+07,1.35E+07,,,
High,Q7M750,Opalin OS=Mus musculus (Mouse) OX=10090 GN=Opalin PE=1 SV=1,15.8,3,1,1,,2,,2,1,1,,2,,2,1.53,4.56E-02,1,3,2,3,2,3,2.62E+06,8.47E+06,1.46E+06,7.56E+06,1.97E+06,1.41E+07,,,
High,Q60854,Serpin B6 OS=Mus musculus (Mouse) OX=10090 GN=Serpinb6 PE=1 SV=1,42.6,11,8,8,4,12,5,5,8,8,4,13,6,6,1.04,4.65E-02,7,9,5,10,9,9,2.23E+07,1.31E+07,4.26E+06,3.13E+07,2.70E+07,1.89E+07,,,
High,P63082,V-type proton ATPase 16 kDa proteolipid subunit OS=Mus musculus (Mouse) OX=10090 GN=Atp6v0c PE=1 SV=1,15.8,2,2,2,2,2,1,2,2,5,2,7,1,4,1.04,4.68E-02,2,4,3,5,3,5,2.12E+07,4.35E+07,1.46E+07,7.27E+07,4.38E+07,2.97E+07,,,
High,Q8VEE4,Replication protein A 70 kDa DNA-binding subunit OS=Mus musculus (Mouse) OX=10090 GN=Rpa1 PE=1 SV=1,69,9,4,7,,5,,1,4,7,,5,,1,-1.94,4.69E-02,3,7,5,6,1,3,5.74E+06,4.07E+06,1.42E+06,3.59E+06,4.12E+05,1.06E+06,,,
High,P39053,Dynamin-1 OS=Mus musculus (Mouse) OX=10090 GN=Dnm1 PE=1 SV=2,97.7,12,7,16,3,13,8,6,8,17,3,13,8,6,1.56,4.69E-02,2,8,4,8,4,5,1.91E+06,1.16E+07,1.61E+06,1.10E+07,4.27E+06,5.64E+06,,,
High,Q9D2P8,Myelin-associated oligodendrocyte basic protein OS=Mus musculus (Mouse) OX=10090 GN=Mobp PE=1 SV=1,19.2,3,1,3,,3,,1,1,3,,3,,1,-2.13,4.74E-02,2,3,2,3,1,1,2.17E+06,6.49E+06,1.12E+06,5.17E+06,4.96E+05,2.32E+05,,,
High,Q61550,Double-strand-break repair protein rad21 homolog OS=Mus musculus (Mouse) OX=10090 GN=Rad21 PE=1 SV=3,72,12,3,10,3,11,1,3,3,10,3,12,1,3,-1.8,4.75E-02,5,10,2,9,2,3,6.48E+06,9.28E+06,1.17E+06,8.80E+06,1.32E+06,1.86E+06,,,
High,Q5MPP0,Fatty acid 2-hydroxylase OS=Mus musculus (Mouse) OX=10090 GN=Fa2h PE=1 SV=1,43,5,,5,,1,,1,,6,,1,,1,-2.26,4.77E-02,3,3,1,2,,1,4.69E+06,2.04E+06,3.53E+05,6.01E+05,,3.02E+05,,,
High,P63044,Vesicle-associated membrane protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Vamp2 PE=1 SV=2,12.7,1,2,2,2,3,2,3,3,5,4,7,5,6,1.52,4.88E-02,1,2,2,2,2,1,4.45E+05,5.17E+06,2.71E+06,7.76E+06,1.41E+07,5.90E+06,,,
High,Q8R050,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Mus musculus (Mouse) OX=10090 GN=Gspt1 PE=1 SV=2,68.6,8,5,4,,5,1,,5,4,,5,1,,-1.92,5.01E-02,6,5,2,5,2,2,1.49E+07,3.77E+06,1.58E+06,4.05E+06,9.95E+05,8.30E+05,,,
High,Q9ESN6,Tripartite motif-containing protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Trim2 PE=1 SV=1,81.4,15,9,14,8,11,3,5,11,14,8,11,3,5,-1.42,5.03E-02,10,9,9,10,4,8,2.20E+07,2.48E+07,1.37E+07,1.92E+07,3.96E+06,8.26E+06,,,
High,Q91VA6,Polymerase delta-interacting protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Poldip2 PE=1 SV=1,41.8,4,2,2,,3,,1,2,2,,3,,1,-2.18,5.14E-02,3,2,,2,1,1,5.64E+06,7.69E+05,,1.29E+06,4.60E+05,4.29E+05,,,
High,Q8BK64,Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus (Mouse) OX=10090 GN=Ahsa1 PE=1 SV=2,38.1,10,6,8,1,7,,3,6,8,1,7,,3,-1.46,5.18E-02,8,9,6,8,4,4,2.10E+07,1.59E+07,4.54E+06,1.35E+07,5.77E+06,4.62E+06,,,
High,Q62348,Translin OS=Mus musculus (Mouse) OX=10090 GN=Tsn PE=1 SV=1,26.2,5,5,2,2,3,1,2,5,2,2,3,1,2,1.67,5.33E-02,3,2,2,4,2,3,7.49E+06,8.81E+05,9.14E+05,3.64E+06,2.01E+06,2.91E+06,,,
High,Q99KN9,Clathrin interactor 1 OS=Mus musculus (Mouse) OX=10090 GN=Clint1 PE=1 SV=2,68.5,6,3,3,,5,,1,3,3,,5,,1,2.19,5.36E-02,5,1,3,5,4,3,6.77E+06,3.63E+05,3.18E+05,2.13E+06,1.65E+06,1.49E+06,,,
High,P09602,Non-histone chromosomal protein HMG-17 OS=Mus musculus (Mouse) OX=10090 GN=Hmgn2 PE=1 SV=2,9.4,2,2,,,2,,,4,,,4,,,1.81,5.39E-02,2,1,2,2,1,1,7.31E+06,5.62E+05,6.48E+05,3.72E+06,2.28E+06,2.11E+06,,,
High,P16330,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Mus musculus (Mouse) OX=10090 GN=Cnp PE=1 SV=3",47.1,31,28,28,18,27,14,18,62,66,26,45,23,28,-1.39,5.48E-02,29,33,31,33,22,25,1.66E+09,2.02E+09,7.92E+08,1.26E+09,5.47E+08,6.31E+08,,,
High,O08915,AH receptor-interacting protein OS=Mus musculus (Mouse) OX=10090 GN=Aip PE=1 SV=1,37.6,4,4,1,,2,1,1,4,1,,3,1,1,-2.09,5.54E-02,2,3,2,1,1,3,3.14E+06,2.72E+06,6.02E+05,6.38E+05,4.58E+05,2.16E+06,,,
High,P17879,Heat shock 70 kDa protein 1B OS=Mus musculus (Mouse) OX=10090 GN=Hspa1b PE=1 SV=3,70.1,12,18,14,13,9,6,7,54,20,14,14,7,9,-1.37,5.66E-02,10,6,7,6,5,7,2.71E+08,1.11E+07,1.78E+07,9.51E+06,5.07E+06,6.86E+06,,,
High,Q9DCB1,High mobility group nucleosome-binding domain-containing protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Hmgn3 PE=1 SV=1,10.8,3,1,1,,3,,,2,1,,3,,,1.49,5.72E-02,3,2,3,3,,,1.52E+06,1.36E+06,6.01E+05,3.83E+06,,,,,
High,Q9ESZ8,General transcription factor II-I OS=Mus musculus (Mouse) OX=10090 GN=Gtf2i PE=1 SV=3,112.2,17,10,10,2,13,1,1,11,11,2,14,1,1,-1.52,5.85E-02,11,13,6,15,4,5,1.94E+07,1.17E+07,2.54E+06,1.87E+07,4.07E+06,3.28E+06,,,
High,Q9QZE7,Translin-associated protein X OS=Mus musculus (Mouse) OX=10090 GN=Tsnax PE=1 SV=1,32.9,6,2,1,,5,2,3,2,1,,5,2,3,0.98,5.86E-02,2,3,2,3,2,4,4.27E+06,8.62E+07,2.09E+08,8.59E+07,1.82E+08,1.70E+08,,,
High,Q8BRT1,CLIP-associating protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Clasp2 PE=1 SV=1,140.7,25,7,16,,20,,1,7,16,,20,,1,-1.63,5.97E-02,11,15,7,15,8,9,8.59E+06,9.67E+06,1.19E+06,1.07E+07,2.78E+06,2.71E+06,,,
High,P60824,Cold-inducible RNA-binding protein OS=Mus musculus (Mouse) OX=10090 GN=Cirbp PE=1 SV=1,18.6,5,2,4,3,5,3,4,2,4,3,7,3,4,0.98,5.97E-02,4,5,4,5,4,5,1.31E+07,1.53E+07,6.54E+06,4.14E+07,1.38E+07,2.57E+07,,,
High,Q8BP92,Reticulocalbin-2 OS=Mus musculus (Mouse) OX=10090 GN=Rcn2 PE=1 SV=1,37.2,7,3,5,,2,,,3,5,,2,,,-2.23,5.99E-02,2,3,2,2,1,1,1.18E+06,2.57E+06,4.58E+05,2.33E+06,6.11E+04,2.53E+05,,,
High,Q921F4,Heterogeneous nuclear ribonucleoprotein L-like OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpll PE=1 SV=3,64.1,14,5,10,,12,1,2,6,11,,16,1,2,-1.52,6.08E-02,5,10,2,11,5,5,1.25E+07,1.20E+07,5.71E+05,1.29E+07,4.18E+06,2.70E+06,,,
High,Q8BRF7,Sec1 family domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Scfd1 PE=1 SV=1,72.3,8,1,4,,7,1,,1,4,,7,1,,1.61,6.11E-02,3,3,3,5,1,1,9.00E+05,1.46E+06,3.83E+05,3.62E+06,2.76E+06,2.09E+05,,,
High,Q8JZQ2,AFG3-like protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Afg3l2 PE=1 SV=1,89.5,4,2,2,,1,,1,3,2,,1,,1,1.46,6.15E-02,4,3,2,2,2,5,6.31E+06,1.37E+06,1.20E+06,1.33E+06,7.78E+06,3.76E+06,,,
High,Q9D8X2,Coiled-coil domain-containing protein 124 OS=Mus musculus (Mouse) OX=10090 GN=Ccdc124 PE=1 SV=1,25.3,4,1,2,,2,,1,1,3,,2,,1,1.72,6.31E-02,1,2,1,3,3,1,7.17E+05,1.46E+06,7.01E+04,3.85E+06,2.36E+06,6.06E+05,,,
High,P97352,Protein S100-A13 OS=Mus musculus (Mouse) OX=10090 GN=S100a13 PE=1 SV=1,11.2,4,3,4,3,4,3,2,3,5,3,4,3,3,0.96,6.34E-02,4,3,3,4,3,4,1.92E+07,7.19E+06,1.38E+07,3.28E+07,2.27E+07,2.69E+07,,,
High,P46061,Ran GTPase-activating protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Rangap1 PE=1 SV=2,63.5,9,1,7,,6,1,2,1,7,,6,1,2,-1.85,6.42E-02,3,5,1,7,1,3,5.22E+06,3.28E+06,2.35E+05,6.94E+06,7.16E+05,9.09E+05,,,
High,Q9CQE5,Regulator of G-protein signaling 10 OS=Mus musculus (Mouse) OX=10090 GN=Rgs10 PE=1 SV=1,21.1,5,3,4,2,1,1,3,3,4,2,1,1,3,-1.78,6.48E-02,3,3,3,2,2,2,2.43E+07,4.77E+06,1.68E+06,1.13E+06,1.39E+06,3.66E+06,,,
High,Q9EPU0,Regulator of nonsense transcripts 1 OS=Mus musculus (Mouse) OX=10090 GN=Upf1 PE=1 SV=2,123.9,16,9,8,,11,2,2,10,8,,11,2,2,-1.67,6.55E-02,7,7,2,7,2,2,1.09E+07,6.64E+06,3.81E+05,6.10E+06,2.09E+06,9.55E+05,,,
